,MoSD2,MoSD2en,MoSD3,MoSD1,GEO1,workspace_id,date,MoSDGPS_SQ002,MoSDGPS_SQ001,MoSDPOP
1524,Ali Al_Kabbe health center / م.ص الشهيد علي الكعبي,Ali Al_Kabbe health center,Primary Health Care Center - Main,HF_CM_RSS_37,Baghdad Health Department  Resafah / Alsadr sector for primary health care ,Alsadr sector for primary health care / قطاع الصدر للرعاية الصحية الأولية,2022-08-02 07:34:52,44.438388,33.370539,40411.0
1528,Ibrahim Al.aashiqi health center / م.ص. الشهيد ابراهيم العاشقي (الثامن سابقا),Ibrahim Al.aashiqi health center,Primary Health Care Center - Main,HF_CM_RSS_93,Baghdad Health Department  Resafah / Alsadr sector for primary health care ,Alsadr sector for primary health care / قطاع الصدر للرعاية الصحية الأولية,2022-07-26 07:34:52,44.46817,33.383587,82010.0
1529,Husain Al.maliki health center  / م.ص الشهيد الشيخ حسين المالكي,Husain Al.maliki health center ,Primary Health Care Center - Main,HF_CM_RSS_32,Baghdad Health Department  Resafah / Alsadr sector for primary health care ,Alsadr sector for primary health care / قطاع الصدر للرعاية الصحية الأولية,2022-08-15 07:34:52,44.401073,33.383825,95085.0
1530,Al.khamis health center  / م.ص. الخامس,Al.khamis health center ,Primary Health Care Center - Main,HF_CM_RSS_88,Baghdad Health Department  Resafah / Alsadr sector for primary health care ,Alsadr sector for primary health care / قطاع الصدر للرعاية الصحية الأولية,2022-08-11 07:34:52,44.456377,33.386371,52296.0
1531,Althalth health center / م.ص الثالث,Althalth health center,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_RSS_15,Baghdad Health Department  Resafah / Alsadr sector for primary health care ,Alsadr sector for primary health care / قطاع الصدر للرعاية الصحية الأولية,2022-07-29 07:34:52,44.477012,33.387763,83199.0
1532,Gamalaa Al-thani health center / م.ص جميلة الثانية (الأمين التخصصي سابقا),Gamalaa Al-thani health center,Primary Health Care Center - Main,HF_CM_RSS_54,Baghdad Health Department  Resafah / Alsadr sector for primary health care ,Alsadr sector for primary health care / قطاع الصدر للرعاية الصحية الأولية,2022-08-10 07:34:52,44.427502,33.388027,52296.0
1533,Al-sadas health center / م.ص. السادس,Al-sadas health center,Primary Health Care Center - Main,HF_CM_RSS_92,Baghdad Health Department  Resafah / Alsadr sector for primary health care ,Alsadr sector for primary health care / قطاع الصدر للرعاية الصحية الأولية,2022-08-08 07:34:52,44.447381,33.389554,58239.0
1534,"Al.auz. Almanai center, Jamal Al.mosaui / مركز العوز المناعي جمال الموسوي"," Al.auz. Almanai center, Jamal Al.mosaui",Primary Health Care Center - Main,HF_CM_RSS_112,Baghdad Health Department  Resafah / Alsadr sector for primary health care ,Alsadr sector for primary health care / قطاع الصدر للرعاية الصحية الأولية,2022-08-04 07:34:52,44.452264,33.390941,78098.0
1535,Haider yuser health center  / م.ص الشهيد حيدر يسر,Haider yuser health center ,Primary Health Care Center - Main,HF_CM_RSS_34,Baghdad Health Department  Resafah / Alsadr sector for primary health care ,Alsadr sector for primary health care / قطاع الصدر للرعاية الصحية الأولية,2022-08-12 07:34:52,44.451954,33.391744,60616.0
1536,Jamal Al.mousaui health center  / م.ص. الشهيد جمال الموسوي,Jamal Al.mousaui health center ,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_RSS_94,Baghdad Health Department  Resafah / Alsadr sector for primary health care ,Alsadr sector for primary health care / قطاع الصدر للرعاية الصحية الأولية,2022-08-02 07:34:52,44.470467,33.392425,76067.0
1537,Alaa Al- should health center / م.الشهيد علاء الشويلي (الكيارة سابقا),Alaa Al- should health center,Primary Health Care Center - Main,HF_CM_RSS_4,Baghdad Health Department  Resafah / Alsadr sector for primary health care ,Alsadr sector for primary health care / قطاع الصدر للرعاية الصحية الأولية,2022-08-08 07:34:52,44.446679,33.393129,58239.0
1538,Haha Al-mahdi health center / م.ص حي المهدي ( حي طارق سابقاً),Haha Al-mahdi health center,Primary Health Care Center - Main,HF_CM_RSS_61,Baghdad Health Department  Resafah / Alsadr sector for primary health care ,Alsadr sector for primary health care / قطاع الصدر للرعاية الصحية الأولية,2022-08-07 07:34:52,44.495514,33.3956,105781.0
1539,Al-montadher health center / م ص حي المنتظر,Al-montadher health center,Primary Health Care Center - Branch,HF_CS_RSS_3,Baghdad Health Department  Resafah / Alsadr sector for primary health care ,Alsadr sector for primary health care / قطاع الصدر للرعاية الصحية الأولية,2022-08-17 07:34:52,44.48460007,33.40015793,105781.0
1541,Al-Desem health center / م ص الدسيم,Al-Desem health center,Primary Health Care Center - Branch,HF_CS_RSS_2,Baghdad Health Department  Resafah / Alsadr sector for primary health care ,Alsadr sector for primary health care / قطاع الصدر للرعاية الصحية الأولية,2022-08-17 07:34:52,44.481159,33.404536,46354.0
1542,Hussein Al-soaidii health center / م.ص الشهيد حسين السويعدي,Hussein Al-soaidii health center,Primary Health Care Center - Main,HF_CM_RSS_33,Baghdad Health Department  Resafah / Alsadr sector for primary health care ,Alsadr sector for primary health care / قطاع الصدر للرعاية الصحية الأولية,2022-08-18 07:34:52,44.463037,33.408085,95084.0
1543,Mustafa Al-atharii health center / م.ص مصطفى العذاري(الحميدية سابقا),Mustafa Al-atharii health center,Primary Health Care Center - Main,HF_CM_RSS_76,Baghdad Health Department  Resafah / Alsadr sector for primary health care ,Alsadr sector for primary health care / قطاع الصدر للرعاية الصحية الأولية,2022-08-13 07:34:52,44.448121,33.410366,46353.0
1545,Al_thani health center / مركز صحي الثاني,Al_thani health center,Primary Health Care Center - Main,HF_CM_RSS_140,Baghdad Health Department  Resafah / Alsadr sector for primary health care ,Alsadr sector for primary health care / قطاع الصدر للرعاية الصحية الأولية,2022-08-06 07:34:52,44.438734,33.362378,40411.0
1554,The first health care center in Madain  / مركز الرعاية الصحية الأول في المدائن,The first health care center in Madain ,Primary Health Care Center - Main,HF_CM_RSS_106,Baghdad Health Department  Resafah / Al Madaen Primary Health Care Sector ,Al Madaen Primary Health Care Sector / قطاع المدائن للرعاية الصحية الأولية,2022-07-24 07:34:52,44.5834976,33.104623,43059.0
1555,The third health center in Al Madain (  AL Khalisa )   / م.ص. الثالث في المدائن (الخالصه سابقاً),The third health center in Al Madain (  AL Khalisa )  ,Primary Health Care Center - Main,HF_CM_RSS_82,Baghdad Health Department  Resafah / Al Madaen Primary Health Care Sector ,Al Madaen Primary Health Care Sector / قطاع المدائن للرعاية الصحية الأولية,2022-07-26 07:34:52,44.696363,33.124472,45881.0
1556,The fourth health center in Madain  / مركز الصحي الرابع في المدائن,The fourth health center in Madain ,Primary Health Care Center - Main,HF_CM_RSS_110,Baghdad Health Department  Resafah / Al Madaen Primary Health Care Sector ,Al Madaen Primary Health Care Sector / قطاع المدائن للرعاية الصحية الأولية,2022-07-26 07:34:52,44.679735,33.126281,42705.0
1557,Jara Health center  / م.ص الجعارة,Jara Health center ,Primary Health Care Center - Main,HF_CM_RSS_17,Baghdad Health Department  Resafah / Al Madaen Primary Health Care Sector ,Al Madaen Primary Health Care Sector / قطاع المدائن للرعاية الصحية الأولية,2022-07-27 07:34:52,44.551933,33.177256,45881.0
1558,national health center  / م.ص. التأميم,national health center ,Primary Health Care Center - Main,HF_CM_RSS_81,Baghdad Health Department  Resafah / Al Madaen Primary Health Care Sector ,Al Madaen Primary Health Care Sector / قطاع المدائن للرعاية الصحية الأولية,2022-07-26 07:34:52,44.562813,33.206813,39528.0
1559,Primary health care center in Jisr  / مركز الرعاية الصحية الأولية في الجسر,Primary health care center in Jisr ,Primary Health Care Center - Main,HF_CM_RSS_108,Baghdad Health Department  Resafah / Al Madaen Primary Health Care Sector ,Al Madaen Primary Health Care Sector / قطاع المدائن للرعاية الصحية الأولية,2022-07-21 07:34:52,44.519447,33.229679,52234.0
1560,Riyadh Model health center  / مركز صحي الرياض النموذجي,Riyadh Model health center ,Primary Health Care Center - Main,HF_CM_RSS_26,Baghdad Health Department  Resafah / Al Madaen Primary Health Care Sector ,Al Madaen Primary Health Care Sector / قطاع المدائن للرعاية الصحية الأولية,2022-07-25 07:34:52,44.529687,33.233772,63175.0
1569,Oil complex health center / مركز الرعاية الصحية الأولية المجمع النفطي,Oil complex health center,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_RSS_107,Baghdad Health Department  Resafah / Nahrawan Primary Health Care Sector,Nahrawan Primary Health Care Sector / قطاع النهروان  للرعاية الصحية الأولية,2022-08-06 07:34:52,44.618852,33.276213,60855.0
1572,Alkhansaa health center  / م.ص الخنساء,Alkhansaa health center ,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_RSS_22,Baghdad Health Department  Resafah / Nahrawan Primary Health Care Sector,Nahrawan Primary Health Care Sector / قطاع النهروان  للرعاية الصحية الأولية,2022-08-03 07:34:52,44.612923,33.322427,38252.0
1574,First nahrawan health center / م.ص النهروان الأول,First nahrawan health center,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_RSS_51,Baghdad Health Department  Resafah / Nahrawan Primary Health Care Sector,Nahrawan Primary Health Care Sector / قطاع النهروان  للرعاية الصحية الأولية,2022-07-24 07:34:52,44.706843,33.37761,86935.0
1576,Nahrawan model health center / م.ص النهروان النموذجي,Nahrawan model health center,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_RSS_134,Baghdad Health Department  Resafah / Nahrawan Primary Health Care Sector,Nahrawan Primary Health Care Sector / قطاع النهروان  للرعاية الصحية الأولية,2022-07-24 07:34:52,44.695505,33.378007,80329.0
1584,Alsindbad / م.ص السندباد, Alsindbad,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_RSS_29,Baghdad Health Department  Resafah / New Baghdad sector for primary health care ,New Baghdad sector for primary health care / قطاع بغداد الجديدة للرعاية الصحية الأولية,2022-07-27 07:34:52,44.467728,33.26386,85534.0
1587,Dawood aljanabi / م.ص. الحاج داود الجنابي(حي الخليج سابقا),Dawood aljanabi,Primary Health Care Center - Main,HF_CM_RSS_87,Baghdad Health Department  Resafah / New Baghdad sector for primary health care ,New Baghdad sector for primary health care / قطاع بغداد الجديدة للرعاية الصحية الأولية,2022-07-25 07:34:52,44.48134,33.298718,64617.0
1588,First baghdad / م.ص. الأول بغداد الجديدة,First baghdad,Primary Health Care Center - Main,HF_CM_RSS_80,Baghdad Health Department  Resafah / New Baghdad sector for primary health care ,New Baghdad sector for primary health care / قطاع بغداد الجديدة للرعاية الصحية الأولية,2022-07-31 07:34:52,44.470011,33.30655,42767.0
1589,Second baghdad / م.ص. الثاني في بغداد الجديدة,Second baghdad,Primary Health Care Center - Main,HF_CM_RSS_85,Baghdad Health Department  Resafah / New Baghdad sector for primary health care ,New Baghdad sector for primary health care / قطاع بغداد الجديدة للرعاية الصحية الأولية,2022-07-31 07:34:52,44.482781,33.317513,46089.0
1592,Al rasheed / م.ص الرشيد,Al rasheed,Primary Health Care Center - Main,HF_CM_RSS_132,Baghdad Health Department  Resafah / New Baghdad sector for primary health care ,New Baghdad sector for primary health care / قطاع بغداد الجديدة للرعاية الصحية الأولية,2022-08-03 07:34:52,44.503906,33.248996,55639.0
1596,Alameen health care center / م.ص الأمين,Alameen health care center,Primary Health Care Center - Main,HF_CM_RSS_12,Baghdad Health Department  Resafah / Municipal Primary Health Care Sector,Municipal First Primary Health Care Sector / قطاع البلديات الاول للرعاية الصحية الأولية,2022-08-15 07:34:52,44.511728,33.309204,80080.0
1597,Alnafut health care center / م.ص حي النفط,Alnafut health care center,Primary Health Care Center - Main,HF_CM_RSS_63,Baghdad Health Department  Resafah / Municipal Primary Health Care Sector,Municipal First Primary Health Care Sector / قطاع البلديات الاول للرعاية الصحية الأولية,2022-08-16 07:34:52,44.522043,33.306006,72144.0
1598,Almoualmeen health care center / م.ص المعلمين,Almoualmeen health care center,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_RSS_49,Baghdad Health Department  Resafah / Municipal Primary Health Care Sector,Municipal First Primary Health Care Sector / قطاع البلديات الاول للرعاية الصحية الأولية,2022-08-02 07:34:52,44.494718,33.318966,67001.0
1599,alreasa health center  / م.ص الرئاسة,alreasa health center ,Primary Health Care Center - Main,HF_CM_RSS_27,Baghdad Health Department  Resafah / Municipal Primary Health Care Sector,Municipal First Primary Health Care Sector / قطاع البلديات الاول للرعاية الصحية الأولية,2022-07-26 07:34:52,44.516965,33.325915,49058.0
1600,Alsader althaleth health care center / م.ص الصدر الثالث (الفضيلية سابقا ),Alsader althaleth health care center,Primary Health Care Center - Main,HF_CM_RSS_41,Baghdad Health Department  Resafah / Municipal Primary Health Care Sector,Municipal First Primary Health Care Sector / قطاع البلديات الاول للرعاية الصحية الأولية,2022-08-03 07:34:52,44.522136,33.331304,72144.0
1601,Alzahraa health care center / م.ص حي الزهراء,Alzahraa health care center,Primary Health Care Center - Main,HF_CM_RSS_58,Baghdad Health Department  Resafah / Municipal Primary Health Care Sector,Municipal First Primary Health Care Sector / قطاع البلديات الاول للرعاية الصحية الأولية,2022-08-03 07:34:52,44.507594,33.336359,58436.0
1602,albaladyat health center  / م.ص البلديات,albaladyat health center ,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_RSS_14,Baghdad Health Department  Resafah / Municipal Primary Health Care Sector,Municipal First Primary Health Care Sector / قطاع البلديات الاول للرعاية الصحية الأولية,2022-07-27 07:34:52,44.485831,33.344359,81522.0
1603,alaummalyia health center / م.ص المدينة العمالية,alaummalyia health center,Primary Health Care Center - Main,HF_CM_RSS_48,Baghdad Health Department  Resafah / Municipal Primary Health Care Sector,Municipal First Primary Health Care Sector / قطاع البلديات الاول للرعاية الصحية الأولية,2022-07-25 07:34:52,44.468661,33.345015,47615.0
1604,Alhussien health care center / م.ص. حي الحسين (الكمالية سابقا),Alhussien health care center,Primary Health Care Center - Main,HF_CM_RSS_99,Baghdad Health Department  Resafah / Municipal Primary Health Care Sector,Municipal First Primary Health Care Sector / قطاع البلديات الاول للرعاية الصحية الأولية,2022-08-22 07:34:52,44.521333,33.357475,69258.0
1605,Abdelsalam albahadly health care center / م.ص الشهيد عبد السلام البهادلي,Abdelsalam albahadly health care center,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_RSS_36,Baghdad Health Department  Resafah / Municipal Primary Health Care Sector,Municipal First Primary Health Care Sector / قطاع البلديات الاول للرعاية الصحية الأولية,2022-08-01 07:34:52,44.459209,33.351133,54829.0
1607,Alhabeebyaa health care center / م.ص الحبيبية,Alhabeebyaa health care center,Primary Health Care Center - Main,HF_CM_RSS_20,Baghdad Health Department  Resafah / Municipal Primary Health Care Sector,Municipal First Primary Health Care Sector / قطاع البلديات الاول للرعاية الصحية الأولية,2022-08-10 07:34:52,44.459263,33.365513,53386.0
1643,Ejnaden primary helath care centre  / مركز صحي أجنادين, Ejnaden primary helath care centre ,Primary Health Care Center - Main,HF_CM_KHH_92,Baghdad Health Department  Alkharkh / Media sector for primary health care ,Media sector for primary health care / قطاع الاعلام للرعاية الصحية الأولية,2022-08-06 07:34:52,44.335579,33.217036,71115.0
1644,AlMuasalat primary helath care centre / مركز صحي المواصلات,AlMuasalat primary helath care centre,Primary Health Care Center - Main,HF_CM_KHH_84,Baghdad Health Department  Alkharkh / Media sector for primary health care ,Media sector for primary health care / قطاع الاعلام للرعاية الصحية الأولية,2022-07-24 07:34:52,44.315305,33.236513,53821.0
1645,AL_Resala primary helath care centre / مركز صحي الرسالة,AL_Resala primary helath care centre,Primary Health Care Center - Main,HF_CM_KHH_40,Baghdad Health Department  Alkharkh / Media sector for primary health care ,Media sector for primary health care / قطاع الاعلام للرعاية الصحية الأولية,2022-08-04 07:34:52,44.318919,33.241584,58472.0
1646,Al_shabab health care centre for family medicine  / مركز صحي الشباب,Al_shabab health care centre for family medicine ,Primary Health Care Center - Main,HF_CM_KHH_54,Baghdad Health Department  Alkharkh / Media sector for primary health care ,Media sector for primary health care / قطاع الاعلام للرعاية الصحية الأولية,2022-08-14 07:34:52,44.330772,33.243162,42292.0
1647,Alsydeya primary helath care centre  / مركز صحي السيدية,Alsydeya primary helath care centre ,Primary Health Care Center - Main,HF_CM_KHH_52,Baghdad Health Department  Alkharkh / Media sector for primary health care ,Media sector for primary health care / قطاع الاعلام للرعاية الصحية الأولية,2022-07-31 07:34:52,44.354083,33.244222,68430.0
1648,AL_Ealam primary helath care centre  / مركز صحي الإعلام,  AL_Ealam primary helath care centre ,Primary Health Care Center - Main,HF_CM_KHH_13,Baghdad Health Department  Alkharkh / Media sector for primary health care ,Media sector for primary health care / قطاع الاعلام للرعاية الصحية الأولية,2022-08-02 07:34:52,44.344296,33.244692,65323.0
1649,Al_bayaa primary helath care centre  / مركز صحي البياع,Al_bayaa primary helath care centre ,Primary Health Care Center - Main,HF_CM_KHH_17,Baghdad Health Department  Alkharkh / Media sector for primary health care ,Media sector for primary health care / قطاع الاعلام للرعاية الصحية الأولية,2022-08-04 07:34:52,44.350945,33.276682,42325.0
1660,Al taji first primary  / مركز صحي التاجي الأول,Al taji first primary ,Primary Health Care Center - Main,HF_CM_KHH_18,Baghdad Health Department  Alkharkh / Taji Primary Health Care Sector ,Taji Primary Health Care Sector / قطاع التاجي للرعاية الصحية الأولية,2022-08-17 07:34:52,44.24823,33.474291,77700.0
1663,Second Taji health center  / مركز صحي التاجي الثاني,Second Taji health center ,Primary Health Care Center - Main,HF_CM_KHH_19,Baghdad Health Department  Alkharkh / Taji Primary Health Care Sector ,Taji Primary Health Care Sector / قطاع التاجي للرعاية الصحية الأولية,2022-07-27 07:34:52,44.233859,33.509232,66300.0
1671,Al_tahade / مركز صحي التحدي,Al_tahade,Primary Health Care Center - Main,HF_CM_KHH_20,Baghdad Health Department  Alkharkh / Dora sector for primary health care ,Dora sector for primary health care / قطاع الدورة للرعاية الصحية الأولية,2022-10-14 07:34:52,44.389103,33.211397,60280.0
1672,Urban health center / مركز صحي الحضر,Urban health center,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_KHH_30,Baghdad Health Department  Alkharkh / Dora sector for primary health care ,Dora sector for primary health care / قطاع الدورة للرعاية الصحية الأولية,2022-10-14 07:34:52,44.399437,33.226796,63242.0
1673,Martyr Mustafa Al-Sadr Health Center / مركز صحي الشهيد مصطفى الصدر,Martyr Mustafa Al-Sadr Health Center,Primary Health Care Center - Branch,HF_CS_KHH_123,Baghdad Health Department  Alkharkh / Dora sector for primary health care ,Dora sector for primary health care / قطاع الدورة للرعاية الصحية الأولية,2022-10-14 07:34:52,44.386446,33.228958,40651.0
1675,Balat Al Shuhada Health center / مركز صحي بلاط الشهداء,Balat Al Shuhada Health center,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_KHH_95,Baghdad Health Department  Alkharkh / Dora sector for primary health care ,Dora sector for primary health care / قطاع الدورة للرعاية الصحية الأولية,2022-10-14 07:34:52,44.397665,33.230977,87723.0
1676,Dora Health center / مركز صحي الدورة الجديد,Dora Health center,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_KHH_37,Baghdad Health Department  Alkharkh / Dora sector for primary health care ,Dora sector for primary health care / قطاع الدورة للرعاية الصحية الأولية,2022-10-14 07:34:52,44.379949,33.253883,56828.0
1686,Altarmea / مركز صحي الطارمية,Altarmea,Primary Health Care Center - Main,HF_CM_KHH_62,Baghdad Health Department  Alkharkh / Tarmiyah Primary Health Care Sector ,Tarmiyah Primary Health Care Sector / قطاع الطارمية للرعاية الصحية الأولية,2022-10-09 07:34:52,44.400671,33.637489,47900.0
1687,Almeshahda / مركز صحي المشاهدة,Almeshahda,Primary Health Care Center - Main,HF_CM_KHH_76,Baghdad Health Department  Alkharkh / Tarmiyah Primary Health Care Sector ,Tarmiyah Primary Health Care Sector / قطاع الطارمية للرعاية الصحية الأولية,2022-10-09 07:34:52,44.234221,33.640342,44232.0
1695,Al shadaa health center  / مركز صحي حي الشهداء النموذجي,Al shadaa health center ,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_KHH_98,Baghdad Health Department  Alkharkh / Al-Amel Primary Health Care Sector (formerly Al-Rasheed) ,Al-Amel Primary Health Care Sector (formerly Al-Rasheed) / قطاع العامل للرعاية الصحية الأولية (الرشيد سابقاً),2022-08-03 07:34:52,44.3114921,33.248924,38954.0
1699,Al Salam health  center  / مركز صحي السلام السكني,Al Salam health  center ,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_KHH_50,Baghdad Health Department  Alkharkh / Al-Amel Primary Health Care Sector (formerly Al-Rasheed) ,Al-Amel Primary Health Care Sector (formerly Al-Rasheed) / قطاع العامل للرعاية الصحية الأولية (الرشيد سابقاً),2022-07-10 07:34:52,44.321419,33.263351,53765.0
1701,Alfurat health center  / مركز صحي الفرات,Alfurat health center ,Primary Health Care Center - Main,HF_CM_KHH_70,Baghdad Health Department  Alkharkh / Al-Amel Primary Health Care Sector (formerly Al-Rasheed) ,Al-Amel Primary Health Care Sector (formerly Al-Rasheed) / قطاع العامل للرعاية الصحية الأولية (الرشيد سابقاً),2022-08-07 07:34:52,44.281316,33.274325,39975.0
1704,Aljehad health center  / مركز صحي الجهاد لصحة الاسرة,Aljehad health center ,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_KHH_26,Baghdad Health Department  Alkharkh / Al-Amel Primary Health Care Sector (formerly Al-Rasheed) ,Al-Amel Primary Health Care Sector (formerly Al-Rasheed) / قطاع العامل للرعاية الصحية الأولية (الرشيد سابقاً),2022-08-31 07:34:52,44.2918368,33.2802515,52450.0
1705,Aljameeat health center  / مركز صحي الجمعيات,Aljameeat health center ,Primary Health Care Center - Main,HF_CM_KHH_25,Baghdad Health Department  Alkharkh / Al-Amel Primary Health Care Sector (formerly Al-Rasheed) ,Al-Amel Primary Health Care Sector (formerly Al-Rasheed) / قطاع العامل للرعاية الصحية الأولية (الرشيد سابقاً),2022-08-01 07:34:52,44.319998,33.284555,53404.0
1709,Al-Amriya / مركز صحي العامرية لصحة الاسرة,Al-Amriya,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_KHH_63,Baghdad Health Department  Alkharkh / Alaadel sector for primary health care ,Alaadel sector for primary health care / قطاع العدل للرعاية الصحية الأولية,2022-08-16 07:34:52,44.290835,33.304191,75042.0
1711,Aljameaa / مركز صحي الجامعة لصحة الاسرة,Aljameaa,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_KHH_22,Baghdad Health Department  Alkharkh / Alaadel sector for primary health care ,Alaadel sector for primary health care / قطاع العدل للرعاية الصحية الأولية,2022-07-21 07:34:52,44.309159,33.323661,43303.0
1727,Alshaheed abd alsaheb dekeel / مركز صحي الشهيد عبد الصاحب دخيل,Alshaheed abd alsaheb dekeel,Primary Health Care Center - Main,HF_CM_KHH_58,Baghdad Health Department  Alkharkh / Kadhimiya Primary Health Care Sector ,Kadhimiya Primary Health Care Sector / قطاع الكاظمية للرعاية الصحية الأولية,2022-07-21 07:34:52,44.317163,33.348496,49542.0
1728,Alhurya Alawal / مركز صحي الحرية الاول,Alhurya Alawal,Primary Health Care Center - Main,HF_CM_KHH_28,Baghdad Health Department  Alkharkh / Kadhimiya Primary Health Care Sector ,Kadhimiya Primary Health Care Sector / قطاع الكاظمية للرعاية الصحية الأولية,2022-07-20 07:34:52,44.309368,33.350473,67454.0
1729,Alhurya Althni / مركز صحي الحرية الثاني,Alhurya Althni,Primary Health Care Center - Main,HF_CM_KHH_29,Baghdad Health Department  Alkharkh / Kadhimiya Primary Health Care Sector ,Kadhimiya Primary Health Care Sector / قطاع الكاظمية للرعاية الصحية الأولية,2022-07-20 07:34:52,44.324424,33.355238,62452.0
1730,Aliraq aljaded / مركز صحي العراق الجديد,Aliraq aljaded,Primary Health Care Center - Main,HF_CM_KHH_67,Baghdad Health Department  Alkharkh / Kadhimiya Primary Health Care Sector ,Kadhimiya Primary Health Care Sector / قطاع الكاظمية للرعاية الصحية الأولية,2022-07-27 07:34:52,44.262354,33.358532,74491.0
1733,Aldolay / مركز صحي الدولعي,Aldolay,Primary Health Care Center - Main,HF_CM_KHH_38,Baghdad Health Department  Alkharkh / Kadhimiya Primary Health Care Sector ,Kadhimiya Primary Health Care Sector / قطاع الكاظمية للرعاية الصحية الأولية,2022-07-24 07:34:52,44.302389,33.368548,68000.0
1735,Alkademia Alawaal / مركز صحي الكاظمية الأول,Alkademia Alawaal,Primary Health Care Center - Main,HF_CM_KHH_71,Baghdad Health Department  Alkharkh / Kadhimiya Primary Health Care Sector ,Kadhimiya Primary Health Care Sector / قطاع الكاظمية للرعاية الصحية الأولية,2022-08-11 07:34:52,44.339467,33.374018,61268.0
1736,Alwfaa / مركز صحي الوفاء,Alwfaa,Primary Health Care Center - Branch,HF_CS_KHH_88,Baghdad Health Department  Alkharkh / Kadhimiya Primary Health Care Sector ,Kadhimiya Primary Health Care Sector / قطاع الكاظمية للرعاية الصحية الأولية,2022-08-02 07:34:52,44.282481,33.376618,45805.0
1740,Alshaheed Alsader / مركز صحي الشهيد الصدر,Alshaheed Alsader,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_KHH_56,Baghdad Health Department  Alkharkh / Kadhimiya Primary Health Care Sector ,Kadhimiya Primary Health Care Sector / قطاع الكاظمية للرعاية الصحية الأولية,2022-08-11 07:34:52,44.304582,33.380862,39197.0
1742,Alzahraa / مركز صحي الزهراء,Alzahraa,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_KHH_46,Baghdad Health Department  Alkharkh / Kadhimiya Primary Health Care Sector ,Kadhimiya Primary Health Care Sector / قطاع الكاظمية للرعاية الصحية الأولية,2022-08-11 07:34:52,44.317506,33.383247,41718.0
1743,Alshaheed Basher aljazari / مركز صحي الشهيد بشير الجزائري,Alshaheed Basher aljazari,Primary Health Care Center - Main,HF_CM_KHH_57,Baghdad Health Department  Alkharkh / Kadhimiya Primary Health Care Sector ,Kadhimiya Primary Health Care Sector / قطاع الكاظمية للرعاية الصحية الأولية,2022-07-28 07:34:52,44.312374,33.386176,100082.0
1754,Aleasshash center health / مركز صحي الوشاش,Aleasshash center health,Primary Health Care Center - Main,HF_CM_KHH_87,Baghdad Health Department  Alkharkh / Karkh Primary Health Care Sector ,Karkh Primary Health Care Sector / قطاع الكرخ للرعاية الصحية الأولية,2022-08-17 07:34:52,44.340934,33.329931,55524.0
1757,Alrahmania health care center / مركز صحي الرحمانية,Alrahmania health care center,Primary Health Care Center - Main,HF_CM_KHH_39,Baghdad Health Department  Alkharkh / Karkh Primary Health Care Sector ,Karkh Primary Health Care Sector / قطاع الكرخ للرعاية الصحية الأولية,2022-08-01 07:34:52,44.368739,33.341977,39622.0
1761,Alsalam center health / مركز صحي السلام,Alsalam center health,Primary Health Care Center - Main,HF_CM_KHH_49,Baghdad Health Department  Alkharkh / Karkh Primary Health Care Sector ,Karkh Primary Health Care Sector / قطاع الكرخ للرعاية الصحية الأولية,2022-08-14 07:34:52,44.341276,33.349279,40907.0
1773,Al-Latifiya Health Center / مركز صحي اللطيفيه,Al-Latifiya Health Center,Primary Health Care Center - Main,HF_CM_KHH_94,Baghdad Health Department  Alkharkh / Mahmoudia Primary Health Care Sector ,Mahmoudia Primary Health Care Sector / قطاع المحمودية للرعاية الصحية الأولية,2022-09-05 07:34:52,44.3559,32.965,41878.0
1779,Al-Mahmoudiyah Second Health Center / مركز صحي المحمودية الثاني,Al-Mahmoudiyah Second Health Center,Primary Health Care Center - Main,HF_CM_KHH_74,Baghdad Health Department  Alkharkh / Mahmoudia Primary Health Care Sector ,Mahmoudia Primary Health Care Sector / قطاع المحمودية للرعاية الصحية الأولية,2022-07-21 07:34:52,44.365699,33.053291,65863.0
1780,Al-Mahmoodeya First Health Center / مركز صحي المحمودية الأول,Al-Mahmoodeya First Health Center,Primary Health Care Center - Main,HF_CM_KHH_73,Baghdad Health Department  Alkharkh / Mahmoudia Primary Health Care Sector ,Mahmoudia Primary Health Care Sector / قطاع المحمودية للرعاية الصحية الأولية,2022-07-21 07:34:52,44.364644,33.06972,60639.0
